order 	 paths 	 value 
6	4 1 2 2 1 4	0.0101494
5	4 1 2 2 2 nan	0.0631036
6	4 1 2 2 2 4	0.0126207
5	4 1 2 2 4 nan	0.0927995
4	4 1 2 4 nan nan	0.695996
3	4 1 3 nan nan nan	2.34174
6	4 1 3 1 1 4	0.00613833
5	4 1 3 1 2 nan	0.135222
6	4 1 3 1 2 4	0.0270444
5	4 1 3 1 4 nan	0.165713
4	4 1 3 2 nan nan	0.295798
6	4 1 3 2 1 4	0.0109613
5	4 1 3 2 2 nan	0.0394398
6	4 1 3 2 2 4	0.00788796
5	4 1 3 2 4 nan	0.0579997
4	4 1 3 4 nan nan	1.15999
3	4 1 4 nan nan nan	4.34998
2	4 2 nan nan nan nan	13.9765
6	4 2 1 1 1 4	0.00383646
5	4 2 1 1 2 nan	0.22537
6	4 2 1 1 2 4	0.045074
5	4 2 1 1 4 nan	0.276189
4	4 2 1 2 nan nan	0.845138
6	4 2 1 2 1 4	0.0182688
5	4 2 1 2 2 nan	0.112685
6	4 2 1 2 2 4	0.022537
5	4 2 1 2 4 nan	0.165713
4	4 2 1 4 nan nan	1.03571
3	4 2 2 nan nan nan	1.86353
6	4 2 2 1 1 4	0.0109613
5	4 2 2 1 2 nan	0.201223
6	4 2 2 1 2 4	0.0402447
5	4 2 2 1 4 nan	0.246597
4	4 2 2 2 nan nan	0.248471
6	4 2 2 2 1 4	0.0163115
5	4 2 2 2 2 nan	0.0331294
6	4 2 2 2 2 4	0.00662588
5	4 2 2 2 4 nan	0.0487197
4	4 2 2 4 nan nan	0.365398
3	4 2 3 nan nan nan	1.63922
6	4 2 3 1 1 4	0.00322262
5	4 2 3 1 2 nan	0.0709916
6	4 2 3 1 2 4	0.0141983
5	4 2 3 1 4 nan	0.0869995
4	4 2 3 2 nan nan	0.207059
6	4 2 3 2 1 4	0.00575468
5	4 2 3 2 2 nan	0.0276078
6	4 2 3 2 2 4	0.00552157
5	4 2 3 2 4 nan	0.0405998
4	4 2 3 4 nan nan	0.811995
3	4 2 4 nan nan nan	2.74048
2	4 3 nan nan nan nan	2.04902
6	4 3 1 1 1 4	0.00268552
5	4 3 1 1 2 nan	0.157759
6	4 3 1 1 2 4	0.0315518
5	4 3 1 1 4 nan	0.193332
4	4 3 1 2 nan nan	0.532437
6	4 3 1 2 1 4	0.0127882
5	4 3 1 2 2 nan	0.0709916
6	4 3 1 2 2 4	0.0141983
5	4 3 1 2 4 nan	0.104399
4	4 3 1 4 nan nan	0.652496
3	4 3 2 nan nan nan	0.258824
6	4 3 2 1 1 4	0.00690562
5	4 3 2 1 2 nan	0.126771
6	4 3 2 1 2 4	0.0253541
5	4 3 2 1 4 nan	0.155356
4	4 3 2 2 nan nan	0.0345098
6	4 3 2 2 1 4	0.0102762
5	4 3 2 2 2 nan	0.00460131
6	4 3 2 2 2 4	0.000920261
5	4 3 2 2 4 nan	0.00676663
4	4 3 2 4 nan nan	0.0507497
3	4 3 3 nan nan nan	0.341503
6	4 3 3 1 1 4	0.000447586
5	4 3 3 1 2 nan	0.00985994
6	4 3 3 1 2 4	0.00197199
5	4 3 3 1 4 nan	0.0120833
4	4 3 3 2 nan nan	0.0431373
6	4 3 3 2 1 4	0.000799262
5	4 3 3 2 2 nan	0.00575163
6	4 3 3 2 2 4	0.00115033
5	4 3 3 2 4 nan	0.00845829
4	4 3 3 4 nan nan	0.169166
3	4 3 4 nan nan nan	1.01499
2	4 4 nan nan nan nan	9.13495
6	4 4 1 1 1 4	0.000559483
5	4 4 1 1 2 nan	0.0328665
6	4 4 1 1 2 4	0.0065733
5	4 4 1 1 4 nan	0.0402775
4	4 4 1 2 nan nan	0.197199
6	4 4 1 2 1 4	0.00266421
5	4 4 1 2 2 nan	0.0262932
6	4 4 1 2 2 4	0.00525864
5	4 4 1 2 4 nan	0.0386664
4	4 4 1 4 nan nan	0.241665
3	4 4 2 nan nan nan	1.64429
6	4 4 2 1 1 4	0.00255764
5	4 4 2 1 2 nan	0.0469521
6	4 4 2 1 2 4	0.00939042
5	4 4 2 1 4 nan	0.0575394
4	4 4 2 2 nan nan	0.219239
6	4 4 2 2 1 4	0.00380601
5	4 4 2 2 2 nan	0.0292318
6	4 4 2 2 2 4	0.00584637
5	4 4 2 2 4 nan	0.042988
4	4 4 2 4 nan nan	0.32241
3	4 4 3 nan nan nan	0.241061
6	4 4 3 1 1 4	0.00284349
5	4 4 3 1 2 nan	0.0626396
6	4 4 3 1 2 4	0.0125279
5	4 4 3 1 4 nan	0.0767643
4	4 4 3 2 nan nan	0.0304498
6	4 4 3 2 1 4	0.00507766
5	4 4 3 2 2 nan	0.00405998
6	4 4 3 2 2 4	0.000811995
5	4 4 3 2 4 nan	0.00597055
4	4 4 3 4 nan nan	0.119411
3	4 4 4 nan nan nan	1.0747
